CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,DBSCAN_Cluster
12346,325,1,74215,2,73004.37045147925,-1547.9793998401667,-1
12347,1,182,2458,0,1265.5231147991392,74.44608108253692,-1
12348,74,31,2341,0,1145.4250666736855,-81.04013008325879,-1
12349,18,73,631,0,-563.2897040433521,0.14918194840254273,-1
12350,309,17,197,1,-999.011348051348,-77.47533395599889,-1
12352,35,85,536,0,-658.0793792148936,12.166133693618619,-1
12353,203,4,20,1,-1175.9702115241585,-75.83083204622494,-1
12354,231,58,530,1,-665.0853799083894,-35.07997662663516,-1
12355,213,13,240,1,-955.8618556766721,-72.24727404286807,-1
12356,22,59,1591,0,396.24272162732177,-33.03402191071198,-1
12357,32,131,2708,0,1514.4053721500634,15.583734105357706,-1
12358,1,19,248,0,-947.2260224417149,-44.24608228318294,-1
12359,57,248,1622,0,430.83239916349567,150.61862970094327,-1
12360,51,129,1165,0,-28.38281588596442,41.89415429344578,-1
12361,286,10,91,1,-1105.0708018374023,-79.94715398213765,-1
12362,2,266,2229,0,1038.2010599763414,162.35872402947072,-1
12363,109,23,408,0,-787.4441060725721,-54.71505733376388,-1
12364,7,85,1506,0,311.8023948488792,-3.943204086849093,-1
12365,290,22,174,1,-1021.8628697546055,-70.06336253844194,-1
12367,3,11,173,0,-1022.3723105436711,-50.93774495885473,-1
12370,50,167,2353,0,1160.130860559021,56.463109149561674,-1
12371,44,63,591,0,-603.5406215723965,-11.73047171520809,-1
12372,71,52,794,0,-400.8603127382763,-29.479033881273335,-1
12373,310,14,197,1,-999.0722410861806,-80.5629512368015,-1
12374,24,33,342,0,-853.0279006312503,-34.578526014628245,-1
12375,10,17,178,0,-1017.2735849226909,-45.8027850111433,-1
12377,314,77,944,1,-250.998854091172,-33.00308460676211,-1
12378,129,219,2529,0,1336.9158988514625,96.44279393545938,-1
12379,81,40,407,0,-788.0440202863358,-34.861056433336735,-1
12380,21,104,1127,0,-66.78881771136366,20.922691274596232,-1
12381,4,87,808,0,-386.0167388903859,12.060701562905749,-1
12383,184,99,1532,1,337.6355251727175,-9.061717056850718,-1
12384,28,27,126,0,-1069.1129622586848,-36.72319753937782,-1
12386,337,10,354,1,-842.246710599281,-90.44838158060301,-1
12388,15,100,1462,0,268.08342376277847,10.997718862813585,-1
12390,79,32,353,0,-842.1845354709978,-41.54621037926549,-1
12391,21,100,300,0,-893.7073274698919,33.17885879813849,-1
12393,71,64,816,0,-378.63080192858945,-17.979132603495778,-1
12394,63,27,819,0,-376.3324721577309,-53.990121707910475,-1
12395,18,156,2118,0,925.0404515589046,53.48834618341765,-1
12397,35,126,1263,0,69.57913938216711,38.662442898649005,-1
12398,45,85,1394,0,199.73068617922354,-5.722599173427895,-1
12399,118,59,1178,0,-16.91336898131317,-34.976496064725424,-1
12401,302,5,11,1,-1185.1920609353265,-85.02326664336009,-1
12402,322,11,94,1,-1102.1402875352278,-82.78024252474705,-1
12403,49,5,96,0,-1099.5872827850078,-60.20748493870855,-1
12405,148,54,857,1,-338.02254703236054,-36.787484585209995,-1
12406,21,105,1818,0,624.0974687124533,8.35316970131953,-1
12407,49,77,1416,0,221.56079058774753,-14.527664003195852,-1
12408,32,105,1409,0,215.14929795355988,15.230055912806833,-1
12409,78,109,5551,0,4356.315890360425,-66.91250258303637,-1
12410,308,26,211,1,-984.8362778729988,-68.69665388158819,-1
12412,74,61,829,0,-365.69911113579474,-21.531292370535297,-1
12413,66,38,286,0,-909.0228278452728,-32.904323911278325,-1
12414,216,18,300,1,-895.783390049496,-68.7675130683033,-1
12415,23,716,77670,2,76473.37364070285,-873.2517650203706,-1
12417,2,192,1552,0,359.89008736044275,102.0686506760467,-1
12418,112,34,407,0,-788.2370067687123,-44.07203743357381,-1
12420,63,29,345,0,-850.2021483026572,-42.697217907477935,-1
12421,15,45,484,0,-710.7994235948238,-24.49201034298558,-1
12422,95,39,370,0,-825.0907402924023,-36.59461789472758,-1
12423,0,125,1339,0,145.6309423450782,39.8401372705233,-1
12424,162,30,740,1,-455.50187023915134,-59.8198823357458,-1
12425,77,36,496,0,-699.1292717566962,-40.16658735545685,-1
12426,194,30,258,1,-937.4875288919784,-53.70835770097793,-1
12427,21,31,533,0,-662.0963096079049,-40.00230034188496,-1
12428,25,294,3536,0,2345.438081415259,162.13633124545342,-1
12429,8,97,1557,0,363.02386061242964,6.88276710820486,-1
12430,42,11,117,0,-1078.4572686114034,-53.92106073568334,-1
12431,35,236,2918,0,1726.4028529838154,115.55031512007639,-1
12432,42,108,1801,0,607.1076244552753,9.471504715152918,-1
12433,0,420,11071,0,9881.50145100641,142.13004347732561,-1
12434,84,50,394,0,-800.8540872198982,-24.976797275065792,-1
12435,79,36,2055,0,859.5653147339151,-70.97799944300854,-1
12436,99,16,211,0,-984.5179366914383,-56.761464571522254,-1
12437,1,200,2923,0,1730.7841113826278,83.21608327878411,-1
12438,13,98,1180,0,-13.89626786468125,14.753913896468447,-1
12441,366,11,121,1,-1075.2535200995578,-87.91619324605952,-1
12442,2,12,182,0,-1013.3521108582768,-50.015415459977945,-1
12444,20,177,1155,0,-37.3697719912102,93.06253727904428,-1
12445,21,4,62,0,-1133.5314632133015,-57.60333595494773,-1
12446,57,58,352,0,-842.6238672600709,-13.371485841523146,-1
12447,242,26,190,1,-1005.6701877251273,-61.37549879394397,-1
12448,43,22,243,0,-952.2697386637492,-45.5615977956885,-1
12449,21,191,1553,0,360.8237667776789,99.06577194938237,-1
12450,155,8,128,1,-1067.7952628420321,-68.94886222366807,-1
12451,10,354,6575,0,5385.057887454755,163.71188503378343,-1
12452,16,22,185,0,-1010.1922689053457,-41.59671483831725,-1
12453,133,43,473,0,-722.125973892887,-38.617060067588184,-1
12454,55,15,1006,0,-189.58262701334797,-68.75509558016032,-1
12455,72,90,2089,0,894.6278286794334,-17.219773996855906,-1
12456,43,125,1633,0,439.4686997093188,29.567849230906532,-1
12457,65,63,844,0,-350.64094719716286,-18.894979145762328,-1
12458,70,38,506,0,-689.075054422477,-37.64148954523665,-1
12461,93,35,287,0,-908.1477484866567,-38.73327417744214,-1
12462,18,62,536,0,-658.4856645446939,-8.923469637836376,-1
12463,52,83,776,0,-418.20633685945495,3.686906326571446,-1
12464,9,29,112,0,-1083.0246565941095,-32.470826026788586,-1
12465,16,47,479,0,-715.761956447133,-22.509920599777622,-1
12468,187,38,366,1,-829.3353257313896,-47.14105676500892,-1
12471,1,460,8212,0,7023.829250173253,237.9179640398201,-1
12472,31,339,4148,0,2958.181952707554,194.23917087501601,-1
12473,28,168,2439,0,1246.1877771232469,58.07228309811697,-1
12474,16,424,4847,0,3658.739784650088,266.6050470583301,-1
12475,53,36,535,0,-660.0778646744577,-38.419787463858746,-1
12476,15,233,2408,0,1216.4918232940684,124.671930682207,-1
12477,22,300,3653,0,2462.539770479829,166.11962075278876,-1
12478,3,36,236,0,-958.897471963304,-27.316586633702094,-1
12479,10,31,385,0,-810.0407749960245,-35.94567661292443,-1
12480,27,154,1707,0,514.0586181153947,58.62522853569553,-1
12481,22,217,3304,0,2111.990261080984,90.44233387463254,-1
12483,16,75,1110,0,-84.33816416309696,-7.055257945309691,-1
12484,32,346,2191,0,1001.6930716387835,239.50917922940135,-1
12488,9,55,529,0,-665.5985735675617,-14.804121321715307,-1
12489,335,15,105,1,-1091.0964081222305,-80.37976798374252,-1
12490,4,245,3064,0,1872.626135263147,124.87835735244562,-1
12491,38,26,260,0,-935.1828224137912,-41.39464253506006,-1
12492,62,20,192,0,-1003.345515332913,-48.538065993862816,-1
12493,165,22,207,1,-988.5623322985462,-57.62601487690944,-1
12494,15,77,707,0,-487.21907063944263,2.9486477618235156,-1
12497,81,14,1236,0,40.28972548276829,-76.98584621165595,-1
12498,20,23,159,0,-1036.177598771033,-40.510765036217244,-1
12500,22,61,2678,0,1483.072156838746,-52.382426937997664,-1
12501,336,149,1783,1,589.187919741433,19.815440798527845,-1
12502,95,147,820,0,-373.0737169566621,61.95791460169258,-1
12504,17,9,90,0,-1105.429643158791,-52.7626715823169,-1
12506,232,23,23,1,-1172.671883826344,-60.03353599234169,-1
12507,133,22,905,0,-290.6183084612401,-67.97746437188688,-1
12508,25,69,272,0,-922.315608875359,2.486079226418667,-1
12509,283,7,55,1,-1141.1149349897337,-81.90939347286417,-1
12510,142,33,353,1,-842.3197329469178,-47.14679569187213,-1
12512,65,34,99,0,-1096.0622448335143,-33.10621580260598,-1
12513,112,35,462,0,-733.2281289436389,-44.15733580734455,-1
12514,266,51,440,1,-755.2903185802754,-43.93735803820131,-1
12515,352,16,131,1,-1065.1236786106347,-81.67539268497494,-1
12516,77,26,875,0,-320.3971182649244,-57.54920637300266,-1
12517,27,284,1371,0,180.6556901387653,194.4812432025775,-1
12518,0,124,1318,0,124.61551089163572,39.25804006444625,-1
12519,63,18,183,0,-1012.3851943010363,-50.45470761578147,-1
12520,78,152,1439,0,245.9461030428804,56.5585253058283,-1
12521,142,38,309,1,-886.2138553671477,-41.31154667921261,-1
12522,38,12,194,0,-1001.4428106228115,-54.01947966147129,-1
12523,18,106,865,0,-328.6919920967731,28.368230076890995,-1
12524,8,144,3699,0,2505.5265083134473,11.569515360761827,-1
12526,0,71,632,0,-562.2846620029719,0.02518483074383937,-1
12527,81,18,234,0,-961.439218103204,-53.34005739573847,-1
12528,8,92,756,0,-437.9191400269922,17.63426118293924,-1
12530,59,66,913,0,-281.5810782396179,-16.63837774803075,-1
12531,14,17,45,0,-1150.2577694171223,-43.610814183740615,-1
12532,29,16,153,0,-1042.3348939072903,-48.29530241204169,-1
12534,130,63,651,0,-543.7633328504193,-21.910787025040477,-1
12535,91,34,219,0,-976.1492101393573,-38.1834333174345,-1
12536,42,261,2803,0,1611.8948154297157,141.93271921681117,-1
12538,28,21,191,0,-1004.2423669504708,-43.96497359204404,-1
12539,21,273,2067,0,876.3219925208266,170.50991521405888,-1
12540,19,478,6685,0,5497.430018918044,283.90523909225914,-1
12541,29,52,680,0,-514.7352209687631,-22.84469747017482,-1
12544,35,19,136,0,-1059.2879103647897,-45.606753723053906,-1
12545,74,50,523,0,-671.8544005904932,-26.46216550536579,-1
